City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,12.95,88,0,3.6,ZA,1722543588
1,ushuaia,-54.8,-68.3,3.81,87,20,4.63,AR,1722543589
2,polyarnyy,69.1989,33.4478,9.96,95,99,4.78,RU,1722543590
3,puerto ayora,-0.7393,-90.3518,26.98,85,70,4.8,EC,1722543591
4,la passe,45.5549,-0.8967,23.13,81,0,3.95,FR,1722543592
5,greymouth,-42.4667,171.2,-0.05,89,7,3.85,NZ,1722543593
6,kodiak,57.79,-152.4072,14.73,63,0,1.54,US,1722543594
7,namsos,64.4662,11.4957,13.95,77,75,1.54,NO,1722543596
8,larkird,35.4894,66.6641,16.66,37,0,1.74,AF,1722543597
9,turbat,26.0023,63.044,29.08,77,100,4.1,PK,1722543598
10,gambela,8.25,34.5833,22.16,85,100,1.05,ET,1722543599
11,invercargill,-46.4,168.35,3.34,92,76,0.45,NZ,1722543600
12,bethel,41.3712,-73.414,34.33,55,0,0.45,US,1722543601
13,tiksi,71.6872,128.8694,3.19,72,99,0.67,RU,1722543602
14,margaret river,-33.95,115.0667,11.07,65,97,2.59,AU,1722543603
15,rio grande,-32.035,-52.0986,21.06,74,28,6.69,BR,1722543604
16,talnakh,69.4865,88.3972,19.05,51,100,0.55,RU,1722543605
17,longyearbyen,78.2186,15.6401,12.91,67,0,1.54,SJ,1722543606
18,mariental,-24.6333,17.9667,12.89,18,0,4.15,NA,1722543607
19,blackmans bay,-43.0167,147.3167,4.74,95,72,0.45,AU,1722543608
20,grytviken,-54.2811,-36.5092,-4.08,62,90,1.28,GS,1722543609
21,wotho,10.1657,166.0102,28.01,77,9,1.86,MH,1722543610
22,edinburgh of the seven seas,-37.0676,-12.3116,12.96,78,14,15.6,SH,1722543611
23,puerto natales,-51.7236,-72.4875,4.25,87,75,1.54,CL,1722543612
24,port alfred,-33.5906,26.891,12.32,88,17,0.45,ZA,1722543613
25,adamstown,-25.066,-130.1015,19.23,93,100,2.85,PN,1722543615
26,malango,-2.9627,119.9001,17.59,99,26,1.07,ID,1722543616
27,papatowai,-46.5619,169.4708,6.84,76,84,1.45,NZ,1722543618
28,nova sintra,14.8667,-24.7167,25.11,76,1,6.93,CV,1722543619
29,valozhyn,54.0909,26.5225,13.97,84,82,2.23,BY,1722543621
30,west island,-12.1568,96.8225,26.99,74,40,6.69,CC,1722543622
31,port lincoln,-34.7333,135.8667,12.08,45,100,6.6,AU,1722543623
32,happy valley-goose bay,53.3168,-60.3315,22.17,88,75,5.14,CA,1722543624
33,port-aux-francais,-49.35,70.2167,4.5,90,100,14.8,TF,1722543625
34,waitangi,-43.9535,-176.5597,7.12,85,64,0.45,NZ,1722543626
35,anadyr,64.75,177.4833,6.28,86,75,7.0,RU,1722543627
36,port mathurin,-19.6833,63.4167,22.45,74,5,2.49,MU,1722543628
37,new norfolk,-42.7826,147.0587,5.4,98,75,1.03,AU,1722543629
38,perry,37.2506,-83.1999,30.4,45,78,2.71,US,1722543630
39,badger,64.8,-147.5333,15.95,67,100,4.63,US,1722543631
40,udachny,66.4167,112.4,7.49,65,0,1.43,RU,1722543632
41,tangalle,6.024,80.7911,25.45,90,100,3.57,LK,1722543633
42,kailua-kona,19.6406,-155.9956,26.98,83,40,4.12,US,1722543634
43,guanica,17.9716,-66.908,31.17,57,79,6.77,PR,1722543635
44,ilulissat,69.2167,-51.1,3.01,100,100,2.06,GL,1722543636
45,ca mau,9.1769,105.15,25.38,93,100,1.35,VN,1722543639
46,hermanus,-34.4187,19.2345,8.78,78,55,0.05,ZA,1722543640
47,bredasdorp,-34.5322,20.0403,8.87,89,13,1.8,ZA,1722543641
48,tura,25.5198,90.2201,23.91,98,100,2.43,IN,1722543642
49,tazovsky,67.4667,78.7,13.92,90,34,3.57,RU,1722543643
50,amos,48.5669,-78.1162,30.59,40,47,3.92,CA,1722543644
51,barra de santo antonio,-9.4047,-35.5072,25.6,75,0,5.96,BR,1722543645
52,yellowknife,62.456,-114.3525,14.67,69,75,4.63,CA,1722543646
53,shitanjing,39.2342,106.3439,20.9,60,100,4.17,CN,1722543647
54,sao gabriel da cachoeira,-0.1303,-67.0892,28.3,70,100,1.53,BR,1722543648
55,afaahiti,-17.75,-149.2833,24.93,61,0,6.18,PF,1722543650
56,lihue,21.9789,-159.3672,28.58,68,20,5.66,US,1722543651
57,yinchuan,38.4681,106.2731,26.99,36,100,6.89,CN,1722543430
58,shimoda,34.6667,138.95,25.06,83,31,2.09,JP,1722543654
59,yuzhno-kurilsk,44.0306,145.8556,15.62,97,100,3.24,RU,1722543655
60,novo aripuana,-5.1206,-60.3797,38.21,20,32,3.06,BR,1722543656
61,punta arenas,-53.15,-70.9167,5.01,93,100,4.12,CL,1722543376
62,wailua homesteads,22.0669,-159.378,28.24,68,20,5.66,US,1722543658
63,anzio,41.4853,12.6179,28.51,80,0,1.13,IT,1722543659
64,khandyga,62.6667,135.6,5.2,91,60,0.99,RU,1722543660
65,nar'yan-mar,67.6713,53.087,14.21,96,100,4.14,RU,1722543661
66,hanzhong,33.0728,107.0303,23.33,91,47,0.74,CN,1722543662
67,iqaluit,63.7506,-68.5145,7.85,65,20,5.14,CA,1722543663
68,portland,45.5234,-122.6762,34.18,50,5,0.89,US,1722543090
69,enewetak,11.3474,162.3373,28.36,76,64,4.09,MH,1722543665
70,coracora,-15.0333,-73.7833,17.87,26,1,5.37,PE,1722543666
71,qaqortoq,60.7167,-46.0333,6.77,80,57,3.58,GL,1722543667
72,vila velha,-20.3297,-40.2925,22.97,81,75,5.66,BR,1722543668
73,duba,27.3513,35.6901,31.15,65,0,2.62,SA,1722543669
74,stanley,54.868,-1.6985,18.73,84,20,1.54,GB,1722543670
75,bilibino,68.0546,166.4372,6.1,54,37,1.58,RU,1722543671
76,vokhtoga,58.8147,41.0461,13.72,97,100,2.14,RU,1722543554
77,whitehorse,60.7161,-135.0538,13.43,67,75,1.54,CA,1722543673
78,yermakovskoye,53.2831,92.4003,15.59,86,19,1.37,RU,1722543675
79,zhigalovo,54.8097,105.1578,13.95,98,95,0.62,RU,1722543676
80,posto fiscal rolim de moura,-13.0833,-62.2667,37.86,15,2,2.18,BR,1722543677
81,tandag,9.0783,126.1986,24.7,88,100,2.0,PH,1722543678
82,vorgashor,67.5833,63.95,15.2,85,48,4.2,RU,1722543679
83,hawaiian paradise park,19.5933,-154.9731,26.73,71,100,1.34,US,1722543680
84,atafu village,-8.5421,-172.5159,27.84,74,64,8.2,TK,1722543681
85,laojunmiao,39.8333,97.7333,16.74,69,100,3.11,CN,1722543682
86,fortuna,40.5982,-124.1573,20.51,88,0,5.14,US,1722543683
87,codrington,-38.2667,141.9667,5.09,71,9,5.15,AU,1722543684
88,nemuro,43.3236,145.575,15.71,94,95,5.29,JP,1722543685
89,kirakira,-10.4544,161.9205,25.77,86,28,4.36,SB,1722543686
90,lerwick,60.1545,-1.1494,15.0,86,53,2.07,GB,1722543687
